"","015760","051600","071320"
"2019-06-05",25700,31450,53900
"2019-06-07",25700,31400,54200
"2019-06-10",25350,32050,54200
"2019-06-11",26200,33000,54700
"2019-06-12",26300,32600,54500
"2019-06-13",26100,33200,52700
"2019-06-14",25500,33100,55100
"2019-06-17",25350,32900,53000
"2019-06-18",25400,32650,52500
"2019-06-19",25600,32600,52600
"2019-06-20",25850,33000,52900
"2019-06-21",26200,32400,52500
"2019-06-24",26050,32900,53200
"2019-06-25",25700,31300,52700
"2019-06-26",25800,31350,52800
"2019-06-27",25650,31650,52700
"2019-06-28",25550,31250,52100
"2019-07-01",25350,31250,53200
"2019-07-02",25250,31000,54000
"2019-07-03",25900,31500,53500
"2019-07-04",25700,31450,53700
"2019-07-05",26000,32250,53800
"2019-07-08",25950,31200,52500
"2019-07-09",25500,30550,52800
"2019-07-10",25250,30550,53000
"2019-07-11",25300,31100,52800
"2019-07-12",25450,31200,53300
"2019-07-15",25450,30650,52600
"2019-07-16",25550,30600,53600
"2019-07-17",25450,30700,53300
"2019-07-18",25500,30450,54300
"2019-07-19",25850,31200,55300
"2019-07-22",26000,31100,54200
"2019-07-23",27250,31950,54600
"2019-07-24",26700,31700,54900
"2019-07-25",27300,31250,54800
"2019-07-26",27600,31200,54500
"2019-07-29",27950,31100,53900
"2019-07-30",27600,31150,54500
"2019-07-31",27900,31900,54200
"2019-08-01",26650,31500,53600
"2019-08-02",27100,31100,53700
"2019-08-05",26800,30800,52400
"2019-08-06",26300,30600,51000
"2019-08-07",26400,30500,51100
"2019-08-08",25450,30600,51700
"2019-08-09",25200,30800,51400
"2019-08-12",25300,31300,51700
"2019-08-13",24950,30950,51100
"2019-08-14",25100,30850,51300
"2019-08-16",24700,30750,50200
"2019-08-19",25700,31200,50600
"2019-08-20",25700,31300,50700
"2019-08-21",25750,31250,50500
"2019-08-22",25950,31350,50500
"2019-08-23",25600,31350,50100
"2019-08-26",25200,30600,50300
"2019-08-27",25150,30650,49750
"2019-08-28",25350,30850,49750
"2019-08-29",25400,31950,50600
"2019-08-30",25550,31650,50200
"2019-09-02",25450,31550,49900
"2019-09-03",25200,31600,49650
"2019-09-04",25250,32150,49500
"2019-09-05",24950,32000,49750
"2019-09-06",24950,31750,49600
"2019-09-09",24950,32100,49650
"2019-09-10",25250,32800,50100
"2019-09-11",25550,32700,49800
"2019-09-16",25450,32900,50100
"2019-09-17",25600,33500,50600
"2019-09-18",25300,34000,50500
"2019-09-19",25400,34000,50500
"2019-09-20",25550,34400,50700
"2019-09-23",26350,34650,50500
"2019-09-24",26750,34650,50900
"2019-09-25",26600,34100,50400
"2019-09-26",26200,34500,50700
"2019-09-27",25750,33900,49850
"2019-09-30",25900,34550,49900
"2019-10-01",26050,34750,50200
"2019-10-02",25350,34350,49750
"2019-10-04",25150,34000,49500
"2019-10-07",25200,34300,49500
"2019-10-08",25450,34050,50100
"2019-10-10",25600,32450,51000
"2019-10-11",25300,32700,51200
"2019-10-14",25550,33200,50500
"2019-10-15",25800,33200,49150
"2019-10-16",26050,33200,50300
"2019-10-17",26300,33300,50300
"2019-10-18",25900,33400,50300
"2019-10-21",25700,33600,49700
"2019-10-22",25750,33850,49600
"2019-10-23",25500,33200,49250
"2019-10-24",25400,33650,49000
"2019-10-25",25550,33750,49350
"2019-10-28",25250,33850,49000
"2019-10-29",25100,33500,48900
"2019-10-30",25850,33150,48850
"2019-10-31",25450,32600,49100
"2019-11-01",25350,32750,49250
"2019-11-04",25300,33750,49400
"2019-11-05",25250,33600,50300
"2019-11-06",26800,33350,49350
"2019-11-07",26950,33700,49800
"2019-11-08",27000,33600,49300
"2019-11-11",27300,33700,49300
"2019-11-12",27400,33500,49550
"2019-11-13",27250,32950,49350
"2019-11-14",28150,33700,49550
"2019-11-15",28050,35000,49600
"2019-11-18",27850,35400,49300
"2019-11-19",28100,35650,49100
"2019-11-20",28150,35600,48800
"2019-11-21",27900,35800,48500
"2019-11-22",28000,36650,48300
"2019-11-25",27850,36500,48750
"2019-11-26",27800,35800,48700
"2019-11-27",27400,35700,48250
"2019-11-28",27500,35750,48200
"2019-11-29",27900,35550,48400
"2019-12-02",28250,35400,48100
"2019-12-03",28500,35650,47850
"2019-12-04",29250,36150,47300
"2019-12-05",28700,36150,48050
"2019-12-06",28850,37050,47900
"2019-12-09",28600,38100,48250
"2019-12-10",28150,38750,48250
"2019-12-11",28500,38500,48650
"2019-12-12",27650,38700,49150
"2019-12-13",27650,38200,49350
"2019-12-16",27450,38250,49000
"2019-12-17",27550,39250,48900
"2019-12-18",28100,40800,48550
"2019-12-19",28400,40800,48000
"2019-12-20",28000,40450,48350
"2019-12-23",27900,40700,48400
"2019-12-24",27900,40750,48100
"2019-12-26",27650,40250,48350
"2019-12-27",27750,39250,47750
"2019-12-30",27800,39150,47300
"2020-01-02",28500,38550,47350
"2020-01-03",28250,38600,47500
"2020-01-06",27600,37900,46100
"2020-01-07",27400,38100,45400
"2020-01-08",26450,37400,44650
"2020-01-09",26900,37600,44400
"2020-01-10",26700,37500,44300
"2020-01-13",26800,37350,44500
"2020-01-14",27050,38600,44550
"2020-01-15",27100,39200,44750
"2020-01-16",26900,39250,44750
"2020-01-17",26850,38700,44400
"2020-01-20",26900,38500,44350
"2020-01-21",26700,38850,44200
"2020-01-22",26800,39650,44400
"2020-01-23",26400,40700,43950
"2020-01-28",25950,39300,43500
"2020-01-29",25950,39550,42900
"2020-01-30",25550,37700,42100
"2020-01-31",25350,37550,41700
"2020-02-03",25050,37000,40650
"2020-02-04",25250,36600,40350
"2020-02-05",25450,36700,40200
"2020-02-06",25550,37400,41400
"2020-02-07",25600,37700,42100
"2020-02-10",25450,37250,42200
"2020-02-11",25850,37450,42350
"2020-02-12",25850,36800,42750
"2020-02-13",25700,36500,44100
"2020-02-14",25600,36150,43600
"2020-02-17",26050,36350,43800
"2020-02-18",25950,36300,43000
"2020-02-19",25900,37200,42800
"2020-02-20",26000,36600,41750
"2020-02-21",26100,35450,41150
"2020-02-24",25500,34200,40000
"2020-02-25",24650,33950,40550
"2020-02-26",24050,33900,39850
"2020-02-27",23100,33400,39500
"2020-02-28",21300,33250,38200
"2020-03-02",20950,33900,38000
"2020-03-03",21200,33600,38450
"2020-03-04",21650,33850,38150
"2020-03-05",21600,34150,39350
"2020-03-06",21100,33200,39200
"2020-03-09",22800,32500,38350
"2020-03-10",22000,32300,39450
"2020-03-11",20800,32150,38400
"2020-03-12",20550,30550,37000
"2020-03-13",19550,29800,32650
"2020-03-16",19000,29550,31650
"2020-03-17",18050,28850,30350
"2020-03-18",17100,28350,30700
"2020-03-19",16250,26500,27600
"2020-03-20",17300,26900,28350
"2020-03-23",17300,24750,26000
"2020-03-24",18650,25850,26900
"2020-03-25",18800,27350,29300
"2020-03-26",18400,28700,29900
"2020-03-27",18550,30000,30050
"2020-03-30",18950,29500,30000
"2020-03-31",19250,29050,31000
"2020-04-01",19000,28400,31000
"2020-04-02",19100,29850,30550
"2020-04-03",19000,30050,30050
"2020-04-06",19150,31300,30000
"2020-04-07",19250,32950,30900
"2020-04-08",19050,32150,32450
"2020-04-09",19150,32100,32000
"2020-04-10",20050,32300,32900
"2020-04-13",20450,32000,33850
"2020-04-14",21200,32700,34000
"2020-04-16",20250,31200,34050
"2020-04-17",20600,31800,34750
"2020-04-20",21350,31950,35950
"2020-04-21",21500,31650,36050
"2020-04-22",22400,31950,35050
"2020-04-23",23200,32300,35650
"2020-04-24",22550,32000,34900
"2020-04-27",23850,32200,35250
"2020-04-28",23800,32000,37050
"2020-04-29",23850,32450,38600
"2020-05-04",22800,31700,39200
"2020-05-06",22400,32550,38500
"2020-05-07",22450,32450,38100
"2020-05-08",22350,32450,38700
"2020-05-11",21900,31300,38950
"2020-05-12",21450,30200,39050
"2020-05-13",22000,30650,40350
"2020-05-14",23150,31200,41800
"2020-05-15",22000,31050,43050
"2020-05-18",21550,31100,42800
"2020-05-19",21800,31750,42000
"2020-05-20",21550,31900,42350
"2020-05-21",21600,31550,41900
"2020-05-22",21250,31050,40900
"2020-05-25",21500,31050,40900
"2020-05-26",21600,31700,40800
"2020-05-27",21600,31800,40100
"2020-05-28",21400,31050,39900
"2020-05-29",21600,30850,39150
"2020-06-01",21750,31650,39500
"2020-06-02",21850,32200,39400
"2020-06-03",22400,32650,39500
"2020-06-04",22000,32000,39150
"2020-06-05",22300,32700,38700
"2020-06-08",22200,32250,38500
"2020-06-09",22550,32050,38000
"2020-06-10",21950,32000,37500
"2020-06-11",21800,31650,37300
"2020-06-12",21150,30800,35600
"2020-06-15",19900,29300,32550
"2020-06-16",20850,30550,33100
"2020-06-17",20350,29950,35300
"2020-06-18",20250,30150,34600
"2020-06-19",20300,30800,34500
"2020-06-22",20050,29950,33800
"2020-06-23",19850,29800,33700
"2020-06-24",19850,29850,33650
"2020-06-25",19300,29300,33200
"2020-06-26",19450,29600,33000
"2020-06-29",19050,29000,32300
"2020-06-30",19500,29050,32450
"2020-07-01",19250,29300,32000
"2020-07-02",19350,29600,32350
"2020-07-03",19400,29900,33450
"2020-07-06",19350,30350,33700
"2020-07-07",19000,30300,33050
"2020-07-08",19050,29850,32500
"2020-07-09",19000,29650,32500
"2020-07-10",18700,29050,31800
"2020-07-13",20000,29500,32150
"2020-07-14",19850,29900,33700
"2020-07-15",19600,29800,34350
"2020-07-16",19600,29900,34050
"2020-07-17",19750,29700,34500
"2020-07-20",19950,29900,36000
"2020-07-21",19800,30050,36400
"2020-07-22",19800,30050,35500
"2020-07-23",19400,29400,35150
"2020-07-24",19500,29700,34950
"2020-07-27",19300,29950,35150
"2020-07-28",19150,29700,34950
"2020-07-29",19350,29550,34300
"2020-07-30",19200,29350,34400
"2020-07-31",19100,29450,34150
"2020-08-03",19050,29350,35400
"2020-08-04",19200,29450,35300
"2020-08-05",19200,29200,35200
"2020-08-06",19350,29700,35000
"2020-08-07",19600,29500,34550
"2020-08-10",19450,29550,34900
"2020-08-11",21000,31100,35200
"2020-08-12",20700,31100,35000
"2020-08-13",21550,31000,34850
"2020-08-14",21950,30300,35600
"2020-08-18",20550,29150,34250
"2020-08-19",20800,28950,34300
"2020-08-20",19950,27950,33200
"2020-08-21",20000,28150,33700
"2020-08-24",19950,28100,33450
"2020-08-25",21000,28800,34000
"2020-08-26",20450,28600,33900
"2020-08-27",20400,28000,33450
"2020-08-28",20700,28000,33450
"2020-08-31",20500,27800,33950
"2020-09-01",21300,27800,33850
"2020-09-02",21150,28200,34050
"2020-09-03",21050,28050,34350
"2020-09-04",20700,28450,33800
"2020-09-07",20650,28300,34200
"2020-09-08",20500,28250,34500
"2020-09-09",20300,27850,34150
"2020-09-10",20350,27900,34250
"2020-09-11",20300,28000,34050
"2020-09-14",20600,28300,34400
"2020-09-15",20400,28050,35000
"2020-09-16",20500,28100,35850
"2020-09-17",20450,27750,35350
"2020-09-18",20500,28000,35800
"2020-09-21",20700,27750,35950
"2020-09-22",20250,27350,34950
"2020-09-23",20100,27350,34950
"2020-09-24",19750,26950,33800
"2020-09-25",19700,26750,33900
"2020-09-28",20200,26750,34750
"2020-09-29",20400,27050,35050
"2020-10-05",20600,27450,35600
"2020-10-06",20300,27300,35800
"2020-10-07",20750,27150,35750
"2020-10-08",21100,27200,35950
"2020-10-12",21100,27200,35850
"2020-10-13",21000,27250,35800
"2020-10-14",21150,27700,35350
"2020-10-15",21300,27600,35050
"2020-10-16",21750,27850,35350
"2020-10-19",21400,27850,39600
"2020-10-20",21000,28000,38250
"2020-10-21",21750,28100,39600
"2020-10-22",21500,28400,39750
"2020-10-23",21300,28300,38950
"2020-10-26",20850,28050,37700
"2020-10-27",20600,27950,36750
"2020-10-28",20550,28200,37400
"2020-10-29",20300,27700,37100
"2020-10-30",19950,27500,36300
"2020-11-02",20350,27600,36950
"2020-11-03",20450,27650,37300
"2020-11-04",20300,27600,37350
"2020-11-05",20400,27850,37900
"2020-11-06",20350,27600,38250
"2020-11-09",20450,28100,39200
"2020-11-10",20700,28650,39150
"2020-11-11",21250,29350,39300
"2020-11-12",20950,29300,39350
"2020-11-13",21350,29200,40350
"2020-11-16",21100,29200,40350
"2020-11-17",21650,29150,40050
"2020-11-18",21400,29000,39400
"2020-11-19",21050,28950,39300
"2020-11-20",21200,29050,39650
"2020-11-23",21550,29100,40150
"2020-11-24",22550,29450,40400
"2020-11-25",22250,29200,40200
"2020-11-26",21950,29100,39800
"2020-11-27",21900,29250,40050
"2020-11-30",21450,29050,39950
"2020-12-01",21600,29150,40350
"2020-12-02",21700,29300,40450
"2020-12-03",22350,29250,40250
"2020-12-04",22100,29300,40000
"2020-12-07",21900,29200,39550
"2020-12-08",21500,29000,39100
"2020-12-09",22400,29400,39600
"2020-12-10",23800,30150,39250
"2020-12-11",23800,30350,39950
"2020-12-14",23900,30100,40300
"2020-12-15",24000,29850,40250
"2020-12-16",23600,30000,40150
"2020-12-17",26000,30250,40950
"2020-12-18",28300,31650,41400
"2020-12-21",28050,31100,40850
"2020-12-22",26800,30150,40050
"2020-12-23",26800,30450,40200
"2020-12-24",27000,30650,40600
"2020-12-28",27050,31200,41600
"2020-12-29",26400,29600,40450
"2020-12-30",27400,29700,40350
"2021-01-04",26900,29200,40500
"2021-01-05",26900,29050,40350
"2021-01-06",27150,28950,40300
"2021-01-07",27050,29050,40450
"2021-01-08",27000,28950,40100
"2021-01-11",26350,28250,39350
"2021-01-12",26200,28250,39150
"2021-01-13",25750,28400,39100
"2021-01-14",25950,28350,38900
"2021-01-15",25300,28250,39100
"2021-01-18",24800,28100,39350
"2021-01-19",24950,28200,39350
"2021-01-20",24850,28000,39450
"2021-01-21",24650,27950,39000
"2021-01-22",24150,28000,39300
