"","038540","007330"
"2020-02-21",8200,7530
"2020-02-24",7970,7420
"2020-02-25",8250,7410
"2020-02-26",8130,7330
"2020-02-27",7990,7280
"2020-02-28",7750,7150
"2020-03-02",7780,7190
"2020-03-03",7760,7240
"2020-03-04",7870,7400
"2020-03-05",7900,7400
"2020-03-06",7690,7400
"2020-03-09",7350,7240
"2020-03-10",7380,7220
"2020-03-11",7020,7150
"2020-03-12",6470,6920
"2020-03-13",6000,6650
"2020-03-16",5830,6790
"2020-03-17",5940,6720
"2020-03-18",5460,6650
"2020-03-19",4750,5960
"2020-03-20",5560,6290
"2020-03-23",5120,6140
"2020-03-24",5300,6330
"2020-03-25",5460,6450
"2020-03-26",5620,6510
"2020-03-27",5640,6750
"2020-03-30",5840,6800
"2020-03-31",6100,6940
"2020-04-01",6130,6990
"2020-04-02",6220,7000
"2020-04-03",6070,7080
"2020-04-06",6200,7120
"2020-04-07",6290,7230
"2020-04-08",6480,7200
"2020-04-09",6850,7200
"2020-04-10",6780,7200
"2020-04-13",6840,7140
"2020-04-14",7020,7170
"2020-04-16",7240,7130
"2020-04-17",8030,7200
"2020-04-20",8230,7170
"2020-04-21",8050,7180
"2020-04-22",7860,7100
"2020-04-23",7800,7130
"2020-04-24",7520,7150
"2020-04-27",7670,7380
"2020-04-28",7770,7390
"2020-04-29",7830,7570
"2020-05-04",7830,7530
"2020-05-06",7980,7530
"2020-05-07",8120,7640
"2020-05-08",8070,7660
"2020-05-11",7870,7620
"2020-05-12",7700,7650
"2020-05-13",7750,7560
"2020-05-14",7500,7470
"2020-05-15",7740,7470
"2020-05-18",7550,7470
"2020-05-19",7600,7540
"2020-05-20",7730,7690
"2020-05-21",8320,7790
"2020-05-22",7730,7770
"2020-05-25",7750,7760
"2020-05-26",8040,7770
"2020-05-27",8020,7760
"2020-05-28",7910,7750
"2020-05-29",7630,7760
"2020-06-01",7710,7860
"2020-06-02",7810,7980
"2020-06-03",8100,7880
"2020-06-04",7880,7850
"2020-06-05",8010,7850
"2020-06-08",8100,7870
"2020-06-09",8380,7850
"2020-06-10",8170,7800
"2020-06-11",7920,7760
"2020-06-12",7650,7630
"2020-06-15",6990,7520
"2020-06-16",7400,7620
"2020-06-17",7380,7600
"2020-06-18",7360,7670
"2020-06-19",7770,7830
"2020-06-22",7180,7830
"2020-06-23",6560,7830
"2020-06-24",6550,7800
"2020-06-25",6190,7770
"2020-06-26",6280,7770
"2020-06-29",6110,7740
"2020-06-30",6140,7730
"2020-07-01",6050,7670
"2020-07-02",5900,7700
"2020-07-03",5850,7710
"2020-07-06",6060,7740
"2020-07-07",6040,7780
"2020-07-08",6300,7750
"2020-07-09",6760,7780
"2020-07-10",6430,7810
"2020-07-13",6470,7800
"2020-07-14",6330,7800
"2020-07-15",6340,7840
"2020-07-16",6230,7860
"2020-07-17",6230,7840
"2020-07-20",6150,7880
"2020-07-21",6310,7880
"2020-07-22",6430,7860
"2020-07-23",6250,7770
"2020-07-24",6100,7830
"2020-07-27",6030,7840
"2020-07-28",6020,7900
"2020-07-29",5930,7940
"2020-07-30",5840,8020
"2020-07-31",5610,7970
"2020-08-03",5400,7990
"2020-08-04",5870,7920
"2020-08-05",5850,7910
"2020-08-06",5980,7980
"2020-08-07",5900,8030
"2020-08-10",5740,8100
"2020-08-11",6380,8100
"2020-08-12",6400,8040
"2020-08-13",6280,8000
"2020-08-14",6210,8000
"2020-08-18",6040,7900
"2020-08-19",6300,7980
"2020-08-20",5950,7890
"2020-08-21",6000,7920
"2020-08-24",6120,7900
"2020-08-25",6280,7950
"2020-08-26",6180,7960
"2020-08-27",5940,7920
"2020-08-28",6120,7910
"2020-08-31",5990,7940
"2020-09-01",6050,7950
"2020-09-02",6000,8000
"2020-09-03",6130,8000
"2020-09-04",5950,8000
"2020-09-07",5960,7970
"2020-09-08",5960,8050
"2020-09-09",5850,8000
"2020-09-10",5950,8030
"2020-09-11",5890,8060
"2020-09-14",5860,8060
"2020-09-15",5810,8090
"2020-09-16",5780,8040
"2020-09-17",5800,8050
"2020-09-18",5840,8060
"2020-09-21",5830,8050
"2020-09-22",5650,8040
"2020-09-23",5620,8030
"2020-09-24",5300,8000
"2020-09-25",5450,7950
"2020-09-28",5580,8000
"2020-09-29",5610,7990
"2020-10-05",5790,8010
"2020-10-06",5790,8040
"2020-10-07",5770,8040
"2020-10-08",5730,8040
"2020-10-12",5750,8040
"2020-10-13",5720,8020
"2020-10-14",5610,8000
"2020-10-15",5730,8000
"2020-10-16",5690,8120
"2020-10-19",5770,8070
"2020-10-20",5750,8110
"2020-10-21",5880,8200
"2020-10-22",5990,8250
"2020-10-23",5980,8270
"2020-10-26",5800,8230
"2020-10-27",5730,8220
"2020-10-28",5820,8250
"2020-10-29",5950,8250
"2020-10-30",5830,8180
"2020-11-02",5960,8250
"2020-11-03",6010,8410
"2020-11-04",6010,8410
"2020-11-05",6250,8450
"2020-11-06",6070,8410
"2020-11-09",6170,8460
"2020-11-10",6490,8520
"2020-11-11",6480,8590
"2020-11-12",6460,8510
"2020-11-13",6570,8390
"2020-11-16",6750,8420
"2020-11-17",6410,8530
"2020-11-18",6450,8580
"2020-11-19",6540,8540
"2020-11-20",6560,8670
"2020-11-23",6530,8700
"2020-11-24",6770,8790
"2020-11-25",6590,8790
"2020-11-26",6730,8950
"2020-11-27",6770,8860
"2020-11-30",6470,8990
"2020-12-01",6550,8940
"2020-12-02",6530,8950
"2020-12-03",6380,8860
"2020-12-04",6450,8820
"2020-12-07",6480,8780
"2020-12-08",6320,8750
"2020-12-09",6400,8730
"2020-12-10",6440,8730
"2020-12-11",6440,8740
"2020-12-14",6630,8760
"2020-12-15",6660,8810
"2020-12-16",6620,8830
"2020-12-17",6620,8840
"2020-12-18",6590,8920
"2020-12-21",6630,8910
"2020-12-22",6360,8900
"2020-12-23",6350,8910
"2020-12-24",6460,8960
"2020-12-28",6560,9080
"2020-12-29",6390,8420
"2020-12-30",6420,8280
"2021-01-04",6390,8180
"2021-01-05",6370,8370
"2021-01-06",6740,8250
"2021-01-07",6800,8280
"2021-01-08",6890,8170
"2021-01-11",6910,8070
"2021-01-12",6870,8040
"2021-01-13",7090,8110
"2021-01-14",7140,8080
"2021-01-15",6850,8110
"2021-01-18",6810,8010
"2021-01-19",6920,8100
"2021-01-20",7190,8090
"2021-01-21",7100,8080
"2021-01-22",7080,8050
