"","210980","034830","123890","034810","007680","056730","005110"
"2018-01-11",31300,3190,5950,15600,11400,2951,1355
"2018-01-12",31850,3150,5867,16300,11050,2973,1320
"2018-01-15",32350,3265,5884,16700,10900,3291,1312
"2018-01-16",32400,3265,5908,16500,10950,3142,1316
"2018-01-17",31750,3240,5876,16450,10900,3418,1383
"2018-01-18",32100,3225,5867,16250,10850,3270,1379
"2018-01-19",31650,3250,5900,15800,11600,3217,1402
"2018-01-22",30950,3250,5867,15700,11750,3355,1383
"2018-01-23",31750,3245,5842,15800,11950,3387,1430
"2018-01-24",32200,3200,5817,16750,12400,3397,1426
"2018-01-25",32100,3205,5851,16800,12400,3233,1434
"2018-01-26",31900,3240,5900,16750,12450,3392,1508
"2018-01-29",32850,3310,6223,16500,12800,3302,1512
"2018-01-30",32950,3275,6215,16200,12700,3318,1543
"2018-01-31",33150,3290,6182,16250,12750,3265,1489
"2018-02-01",33800,3275,6191,16300,12650,3355,1524
"2018-02-02",33550,3210,6124,15600,12300,3265,1555
"2018-02-05",32600,3170,6009,14900,11800,3169,1524
"2018-02-06",32700,3045,5842,14600,11950,2999,1441
"2018-02-07",31150,2910,5693,14500,11600,2893,1371
"2018-02-08",31300,3000,5685,14550,11650,2962,1375
"2018-02-09",31250,2925,5767,14500,11600,2835,1418
"2018-02-12",30950,2960,5619,14550,11600,2941,1418
"2018-02-13",29600,2915,5652,14400,11650,2866,1434
"2018-02-14",28700,2955,5668,14500,11850,2882,1434
"2018-02-19",29150,3035,5751,14750,11950,2951,1441
"2018-02-20",29100,3030,5743,14750,12050,3095,1504
"2018-02-21",29100,3040,5718,14750,11800,3164,1551
"2018-02-22",29100,3005,5652,14650,11800,3084,1528
"2018-02-23",29600,3000,5660,14550,12200,3052,1489
"2018-02-26",29450,3045,5668,14700,12450,3100,1504
"2018-02-27",30050,3025,5660,14700,13100,2994,1528
"2018-02-28",30450,2950,5635,14500,13150,2840,1496
"2018-03-02",29900,2950,5553,14550,13500,2866,1496
"2018-03-05",29150,2910,5494,15300,13450,2728,1434
"2018-03-06",30100,2915,5444,15700,13100,2760,1438
"2018-03-07",29800,2900,5370,15600,12350,2606,1453
"2018-03-08",29800,2900,5312,15900,12650,2590,1461
"2018-03-09",29650,2975,5387,15800,12550,2527,1489
"2018-03-12",30600,2985,5452,15750,12900,2553,1500
"2018-03-13",30400,3005,5436,15600,13100,2452,1504
"2018-03-14",30550,2965,5321,15350,13050,2463,1489
"2018-03-15",30700,2980,5329,15300,13200,2463,1492
"2018-03-16",30400,2975,5337,15400,13500,2574,1516
"2018-03-19",29500,2940,5337,15200,13600,2521,1461
"2018-03-20",29400,2920,5246,15450,13350,2484,1504
"2018-03-21",28550,2910,5220,15500,12900,2447,1473
"2018-03-22",28150,2960,5196,15350,12400,2452,1453
"2018-03-23",27450,2890,5038,14600,12400,2293,1383
"2018-03-26",27300,2955,5063,14600,12350,2378,1434
"2018-03-27",28300,2965,5063,14850,12500,2336,1477
"2018-03-28",27950,2960,4989,14600,11950,2272,1485
"2018-03-29",28900,3005,4964,14300,11950,2283,1489
"2018-03-30",28900,2975,5063,14300,12050,2314,1622
"2018-04-02",29050,2955,5014,14350,12100,2229,1661
"2018-04-03",28950,2925,5080,14850,11950,2219,1688
"2018-04-04",28850,2905,4989,14800,12150,2182,1861
"2018-04-05",29150,2925,5014,14700,12450,2155,1841
"2018-04-06",29100,2920,5006,14800,12100,2070,1947
"2018-04-09",29200,2950,4989,14700,11800,2192,1966
"2018-04-10",28400,2960,4947,14750,11500,2229,1927
"2018-04-11",28500,2925,5038,15150,11400,2389,2013
"2018-04-12",27950,2955,4939,15300,11250,2532,2021
"2018-04-13",28000,2940,4848,15200,11400,2527,2166
"2018-04-16",28200,2920,4856,14950,11200,2553,2624
"2018-04-17",27800,2910,4782,15100,11050,2574,2628
"2018-04-18",28150,2920,4806,15100,11150,2601,2331
"2018-04-19",28150,2995,4915,15100,11700,2776,2452
"2018-04-20",28950,3025,4923,15050,11400,2792,2452
"2018-04-23",29650,2995,4947,14950,12300,2713,2389
"2018-04-24",29650,3045,5055,15000,12300,3111,2323
"2018-04-25",29150,3040,5287,15800,11950,3174,2272
"2018-04-26",29000,3030,5105,15800,11700,3063,2225
"2018-04-27",29500,3035,5105,15750,11800,3031,2358
"2018-04-30",29600,3080,5138,16000,11650,3158,2205
"2018-05-02",30850,3115,5279,16200,12300,3100,2060
"2018-05-03",30650,3060,5147,16150,12150,2930,2017
"2018-05-04",31450,3145,5080,16350,12350,2750,1974
"2018-05-08",30450,3090,5055,16350,12350,2490,1974
"2018-05-09",30300,3020,5038,16600,11750,2548,1998
"2018-05-10",30800,3050,5080,17400,11650,2707,2029
"2018-05-11",31400,3085,5097,17500,11700,2638,2053
"2018-05-14",31650,3115,5212,17900,12400,2564,2009
"2018-05-15",31500,3095,5188,17350,14050,2681,2025
"2018-05-16",31550,3055,5080,16700,14400,2405,1833
"2018-05-17",30900,3075,4989,16800,14200,2436,1915
"2018-05-18",30400,3010,4931,17000,14300,2468,1982
"2018-05-21",29950,2995,4947,17300,14050,2553,2166
"2018-05-23",30000,2950,4897,17200,13550,2612,2092
"2018-05-24",30200,2950,4856,17000,13100,2675,2029
"2018-05-25",30100,2895,4748,16200,12700,2649,2107
"2018-05-28",32400,2925,4657,16000,13700,2665,2276
"2018-05-29",32150,2890,4582,15900,13200,2548,2194
"2018-05-30",31700,2895,4491,15300,13400,2474,2335
"2018-05-31",32600,2920,4400,15250,13050,2357,2229
"2018-06-01",32550,2880,4442,15550,12900,2277,2198
"2018-06-04",32650,2870,4508,15150,12550,2283,2092
"2018-06-05",32850,2930,4425,15300,12500,2415,2076
"2018-06-07",32700,2915,4376,15150,12600,2341,2350
"2018-06-08",32600,2940,4467,15300,12850,2421,2440
"2018-06-11",32500,2955,4467,15400,12800,2272,2366
"2018-06-12",32650,2935,4508,14950,12900,2330,2276
"2018-06-14",32900,2930,4350,14800,12550,2219,2288
"2018-06-15",32400,2870,4326,14850,12350,2261,2190
"2018-06-18",32400,2775,4185,14200,11750,2224,1865
"2018-06-19",32200,2715,4106,13700,11500,2118,1876
"2018-06-20",32300,2805,4127,13750,11650,2155,2025
"2018-06-21",30900,2770,4056,13700,11650,2118,1974
"2018-06-22",31400,2775,4144,13700,11850,2272,1904
"2018-06-25",31600,2790,4301,13700,11950,2357,1790
"2018-06-26",31800,2750,4235,14000,12400,2293,1673
"2018-06-27",31200,2750,4210,14150,12100,2596,1626
"2018-06-28",31000,2710,4131,13900,11950,2436,1739
"2018-06-29",31000,2715,4123,14000,12150,2484,1579
"2018-07-02",30800,2630,4202,13600,12000,2336,1477
"2018-07-03",30900,2595,4243,13600,11600,2394,1536
"2018-07-04",31200,2635,4309,13600,11400,2490,1536
"2018-07-05",31900,2625,4115,13550,11050,2559,1457
"2018-07-06",32500,2715,4350,13800,11500,2723,1500
"2018-07-09",32700,2755,4350,13600,11750,2829,1453
"2018-07-10",32900,2790,4376,13900,11950,2516,1485
"2018-07-11",32600,2795,4400,13950,12250,2479,1508
"2018-07-12",33050,2830,4433,14100,12100,2436,1524
"2018-07-13",33100,2810,4376,14350,12350,2389,1508
"2018-07-16",32700,2775,4326,14150,12300,2346,1496
"2018-07-17",32750,2780,4318,14300,12250,2436,1555
"2018-07-18",33000,2785,4376,14350,11550,2490,1524
"2018-07-19",32450,2750,4318,14200,11750,2421,1485
"2018-07-20",31900,2700,4326,13900,11800,2346,1465
"2018-07-23",31800,2680,4301,13900,11700,2245,1379
"2018-07-24",31850,2790,4384,13900,11500,2229,1430
"2018-07-25",31500,2810,4433,13350,11450,2229,1414
"2018-07-26",31750,2840,4475,13450,11450,2219,1449
"2018-07-27",32100,2860,4459,13600,11550,2229,1465
"2018-07-30",32600,2880,4525,13500,11550,2208,1461
"2018-07-31",33000,2875,4566,13550,11650,2198,1457
"2018-08-01",33050,2915,4533,13950,12400,2251,1496
"2018-08-02",33000,2880,4525,14000,12050,2235,1461
"2018-08-03",33000,2895,4558,14100,12500,2272,1508
"2018-08-06",33050,2905,4591,13900,12200,2283,1536
"2018-08-07",32300,2910,4641,14150,12000,2272,1516
"2018-08-08",32750,2915,4641,14700,12000,2224,1492
"2018-08-09",32900,2900,4600,14600,12550,2272,1598
"2018-08-10",32350,2905,4525,14500,12450,2229,1508
"2018-08-13",32050,2840,4417,13900,12400,2134,1438
"2018-08-14",32350,2935,4517,13900,12400,2261,1418
"2018-08-16",32300,2950,4475,13900,12400,2229,1422
"2018-08-17",32350,2955,4475,13800,12150,2208,1465
"2018-08-20",32200,2975,4508,13450,12200,2293,1469
"2018-08-21",32450,2935,4433,13700,12100,2421,1473
"2018-08-22",32200,2885,4425,13550,12100,2500,1473
"2018-08-23",32250,2865,4417,13500,11900,2516,1469
"2018-08-24",32200,2810,4425,13550,11950,2628,1449
"2018-08-27",32400,2845,4433,13700,11950,2633,1422
"2018-08-28",32550,2895,4467,13450,11900,2612,1426
"2018-08-29",32500,2900,4483,13650,12000,2410,1402
"2018-08-30",31900,2870,4500,13400,12400,2405,1406
"2018-08-31",31650,2880,4483,13600,12500,2442,1418
"2018-09-03",31050,2825,4483,13600,12900,2659,1387
"2018-09-04",31050,2830,4467,13700,13150,2824,1387
"2018-09-05",30700,2830,4475,13550,12950,2643,1394
"2018-09-06",30950,2805,4425,13500,13100,2606,1406
"2018-09-07",30300,2835,4359,13550,13150,2638,1473
"2018-09-10",30700,2860,4359,13050,13350,2702,1496
"2018-09-11",31350,2865,4392,13150,13150,2649,1492
"2018-09-12",31300,2870,4442,13400,13250,2718,1473
"2018-09-13",31450,2950,4525,13400,13350,2702,1543
"2018-09-14",31750,2910,4715,13300,13300,2622,1520
"2018-09-17",32000,2870,4691,13250,13200,2797,1504
"2018-09-18",31200,2845,4691,13100,13100,2734,1524
"2018-09-19",32100,2810,4616,13300,13100,2670,1536
"2018-09-20",32400,2865,4723,13250,12900,2564,1481
"2018-09-21",33250,2865,4723,13250,13150,2612,1500
"2018-09-27",34600,2815,4566,13000,13300,2728,1496
"2018-09-28",34600,2790,4624,12950,13450,2771,1430
"2018-10-01",36650,2780,4641,12750,13850,2760,1430
"2018-10-02",37400,2765,4582,12700,13500,2606,1398
"2018-10-04",36400,2740,4491,12500,13950,2590,1418
"2018-10-05",35550,2690,4491,12200,13600,2601,1391
"2018-10-08",34450,2670,4500,12050,13200,2500,1391
"2018-10-10",33150,2610,4368,11950,12500,2410,1281
"2018-10-11",32850,2490,4102,10950,11700,2357,1206
"2018-10-12",33700,2525,4160,11300,12150,2447,1199
"2018-10-15",33850,2485,4144,11450,12200,2304,1152
"2018-10-16",33800,2480,4127,11700,12250,2383,1179
"2018-10-17",33700,2505,4127,11850,12250,2352,1199
"2018-10-18",32700,2530,4019,11650,12350,2336,1191
"2018-10-19",31650,2540,4019,12050,12350,2330,1183
"2018-10-22",31650,2500,4027,11950,11950,2314,1183
"2018-10-23",31650,2410,3899,11400,11950,2192,1132
"2018-10-24",31450,2375,3803,11450,12000,2219,1065
"2018-10-25",31000,2370,3696,11100,12100,2113,1042
"2018-10-26",30350,2300,3563,10750,11650,1991,999
"2018-10-29",29600,2280,3468,10200,11000,1815,928
"2018-10-30",30250,2305,3563,9950,11200,1842,979
"2018-10-31",30600,2345,3600,10050,11500,1863,995
"2018-11-01",30750,2360,3555,10000,11700,1815,1293
"2018-11-02",31350,2470,3675,10550,11900,1938,1332
"2018-11-05",30300,2475,3571,10600,11850,1975,1375
"2018-11-06",30550,2525,3580,10800,11600,1943,1304
"2018-11-07",29150,2500,3514,11050,11650,1959,1273
"2018-11-08",29300,2525,3568,11800,11750,1996,1316
"2018-11-09",29200,2565,3580,11850,11650,1959,1324
"2018-11-12",29400,2565,3530,11800,11650,1868,1289
"2018-11-13",28400,2550,3568,11750,11450,1831,1375
"2018-11-14",28250,2525,3559,11600,11700,1831,1430
"2018-11-15",26850,2575,3688,11800,11400,1826,1461
"2018-11-16",27100,2580,3688,11450,11450,2054,1481
"2018-11-19",26900,2590,3746,11100,12450,2139,1524
"2018-11-20",26150,2575,3741,11250,12000,2176,1543
"2018-11-21",25650,2505,3746,11150,12050,2229,1465
"2018-11-22",25100,2500,3712,11100,11750,2293,1477
"2018-11-23",23950,2490,3741,11050,11600,2622,1383
"2018-11-26",25200,2510,3787,10900,11700,2622,1414
"2018-11-27",26150,2510,3795,11050,11800,2399,1418
"2018-11-28",27200,2525,3899,10900,11750,2500,1383
"2018-11-29",27450,2535,3928,11100,12250,2633,1391
"2018-11-30",28550,2530,3858,10900,12250,2697,1359
"2018-12-03",28500,2550,3907,10950,12350,2654,1449
"2018-12-04",27850,2545,3878,11100,12450,2681,1465
"2018-12-05",27100,2550,3878,11200,12100,2585,1536
"2018-12-06",28000,2530,3841,11350,11950,2548,1677
"2018-12-07",28100,2520,3808,11000,12050,2537,1492
"2018-12-10",27650,2485,3771,10600,11700,2447,1387
"2018-12-11",27500,2475,3738,10150,11300,2622,1410
"2018-12-12",28300,2515,3787,10300,11850,2585,1438
"2018-12-13",27900,2530,3771,10550,11850,2574,1469
"2018-12-14",27000,2645,3795,10800,11450,2389,1406
"2018-12-17",27400,2725,4090,10650,11750,2346,1449
"2018-12-18",26900,2800,4040,10450,11450,2352,1441
"2018-12-19",27250,2785,4098,10750,11550,2357,1528
"2018-12-20",26950,2830,4102,10450,11550,2293,1465
"2018-12-21",26700,2805,4131,10450,11450,2336,1434
"2018-12-24",26600,2805,4152,10400,11550,2543,1402
"2018-12-26",26050,2815,4123,10200,11400,2336,1383
"2018-12-27",27200,2760,3977,10300,11400,2426,1387
"2018-12-28",26750,2700,4004,10450,11500,2553,1422
"2019-01-02",27200,2565,3941,10250,11400,2622,1434
"2019-01-03",26150,2535,3954,10150,11250,2601,1379
"2019-01-04",26200,2510,3904,10250,11050,2596,1387
"2019-01-07",26250,2530,3900,10300,11300,2782,1422
"2019-01-08",26700,2550,3873,10300,11100,2808,1492
"2019-01-09",26650,2560,3954,10500,11200,2819,1524
"2019-01-10",26950,2540,3927,10550,11400,3158,1477
"2019-01-11",27450,2600,3923,11250,11500,3084,1508
"2019-01-14",27800,2540,3868,11500,11350,3132,1492
"2019-01-15",27850,2580,3886,11500,11500,3344,1496
"2019-01-16",28300,2590,3895,11250,11800,2707,1586
"2019-01-17",27650,2595,3941,11150,11550,2697,1555
"2019-01-18",29350,2610,3964,11200,11550,2707,1559
"2019-01-21",29000,2600,3950,11150,11600,2941,1559
"2019-01-22",28900,2635,3936,11300,11500,2973,1508
"2019-01-23",28950,2615,3954,11200,11450,2999,1504
"2019-01-24",29500,2615,3973,11300,11350,3004,1598
"2019-01-25",29400,2620,4041,11400,11200,2898,1630
"2019-01-28",29200,2620,4004,11400,11250,2813,1598
"2019-01-29",29100,2620,3968,11450,11000,2771,1575
"2019-01-30",29000,2625,3945,11400,11150,2760,1614
"2019-01-31",29600,2640,4036,11450,11250,2622,1594
"2019-02-01",29550,2625,4064,11550,11400,2309,1661
"2019-02-07",30550,2635,4068,11350,11900,1619,1716
"2019-02-08",30500,2600,4050,11350,12050,1550,1735
"2019-02-11",30300,2585,4027,11000,11700,1550,1884
"2019-02-12",30350,2575,4004,11250,11850,1550,1872
"2019-02-13",30400,2625,4000,11200,12100,1550,1853
"2019-02-14",30200,2595,4004,11300,12200,1550,1771
"2019-02-15",29750,2585,4018,11300,12700,1550,1782
"2019-02-18",30100,2610,4004,11550,12700,1550,1724
"2019-02-19",29900,2605,4014,11750,12500,1550,2241
"2019-02-20",30500,2600,4000,12000,12850,1550,2718
"2019-02-21",30150,2590,3986,12000,12900,1550,2742
"2019-02-22",30300,2595,3986,11800,12700,1550,2887
"2019-02-25",30600,2580,4014,11800,13000,1550,2863
"2019-02-26",30300,2590,3982,11700,13050,1550,2863
"2019-02-27",30050,2575,3918,11850,13150,1550,3243
"2019-02-28",30050,2540,3895,11450,12850,1550,2507
"2019-03-04",29850,2555,3891,11500,14000,1550,2382
"2019-03-05",29700,2525,3868,11500,14000,1550,2777
"2019-03-06",30000,2535,3818,11600,13850,1550,2585
"2019-03-07",29950,2520,3841,11450,13900,1550,2303
"2019-03-08",30000,2490,3813,11600,13550,1550,2217
"2019-03-11",30000,2550,3841,11550,13950,1550,2201
"2019-03-12",30350,2560,3782,11600,14000,1550,2346
"2019-03-13",31000,2560,3813,11550,14200,1550,2237
"2019-03-14",31450,2610,3859,11550,14200,1550,2311
"2019-03-15",31800,2600,3873,11450,14000,1550,2111
"2019-03-18",31850,2595,3841,11500,14050,1550,2260
"2019-03-19",31500,2575,3813,11450,14150,1550,2362
"2019-03-20",31550,2610,3813,11450,14400,1550,2323
"2019-03-21",31750,2685,3954,11250,14150,1550,2284
"2019-03-22",31200,2630,3964,11250,14150,1550,2221
"2019-03-25",30600,2595,3886,11200,14150,1550,2421
"2019-03-26",30600,2610,3854,10950,14300,1550,2472
"2019-03-27",30650,2620,3836,10900,13950,1550,2440
"2019-03-28",30650,2625,3782,11000,13900,1550,2386
"2019-03-29",30500,2600,3804,11150,13900,1550,3048
"2019-04-01",29850,2620,3800,11100,13700,1550,3118
"2019-04-02",29500,2655,3818,11300,13500,1550,3200
"2019-04-03",29650,2660,3841,11500,13350,1550,3220
"2019-04-04",29650,2670,3859,11500,13350,1550,3173
"2019-04-05",29200,2635,3813,11400,13350,1550,3181
"2019-04-08",29250,2660,3791,11150,13700,1550,3118
"2019-04-09",29500,2695,3813,11350,13800,1550,3071
"2019-04-10",29650,2695,3827,11350,13600,1550,3142
"2019-04-11",29600,2715,3850,11400,13150,1550,3161
"2019-04-12",29650,2705,3818,12000,13300,1550,2946
"2019-04-15",30000,2725,3832,12200,13350,1550,2859
"2019-04-16",30200,2740,3845,12250,13150,1550,2977
"2019-04-17",30900,2740,3909,12250,13250,1550,2769
"2019-04-18",30550,2680,3886,12100,13100,1550,2742
"2019-04-19",29500,2610,3850,11900,13400,1550,2758
"2019-04-22",29900,2665,3850,11950,13300,1550,2824
"2019-04-23",30850,2665,3841,11700,13300,1550,2883
"2019-04-24",30200,2670,3832,11650,13400,1550,2824
"2019-04-25",30000,2650,3891,11550,13400,1550,2836
"2019-04-26",29500,2605,3859,11300,13400,1550,2863
"2019-04-29",29500,2585,3854,11350,13400,1550,2718
"2019-04-30",29500,2605,3859,11300,13400,1550,2703
"2019-05-02",30100,2590,3850,11500,13800,1550,2703
"2019-05-03",29950,2570,3836,11550,14050,1550,2715
"2019-05-07",30000,2555,3822,11450,14200,1550,2652
"2019-05-08",30350,2555,3818,11450,15300,1550,2589
"2019-05-09",30050,2560,3832,11350,15300,1550,2448
"2019-05-10",30000,2535,3841,11200,15200,1550,2444
"2019-05-13",29400,2465,3800,11300,15400,1550,2413
"2019-05-14",30150,2435,3763,11250,15750,1550,2421
"2019-05-15",29800,2445,3786,11250,16000,1550,2472
"2019-05-16",29600,2405,3786,11000,16050,1550,2452
"2019-05-17",29500,2360,3713,11000,16450,1550,2530
"2019-05-20",29250,2355,3627,11000,16500,1550,2448
"2019-05-21",28950,2385,3581,11050,16400,1550,2456
"2019-05-22",28550,2380,3577,10850,16650,1550,2440
"2019-05-23",28300,2360,3572,10900,17050,1550,2248
"2019-05-24",27700,2305,3613,10700,17800,1550,2225
"2019-05-27",27350,2315,3631,10950,18150,1550,2276
"2019-05-28",29050,2280,3613,10950,19500,1550,2335
"2019-05-29",29650,2310,3540,11150,19600,1550,2303
"2019-05-30",29900,2300,3513,11150,21350,1550,2272
"2019-05-31",29550,2325,3613,11250,18800,1550,2319
"2019-06-03",29100,2360,3759,11150,17150,1550,2295
"2019-06-04",29100,2385,3731,11100,15700,1550,2331
"2019-06-05",28750,2380,3750,11150,14250,1550,2401
"2019-06-07",28250,2395,3786,11250,14000,1550,2530
"2019-06-10",28250,2345,3854,11300,14600,1550,2546
"2019-06-11",28550,2405,3891,11300,14500,1550,2668
"2019-06-12",28550,2410,3891,11250,14200,1550,2671
"2019-06-13",28800,2495,3909,11200,14100,1550,2832
"2019-06-14",28700,2465,3891,11100,14550,1550,2867
"2019-06-17",28200,2365,3822,10950,14700,1550,2769
"2019-06-18",27450,2345,3795,11150,14400,1550,2687
"2019-06-19",27400,2370,3763,11100,14350,1550,2848
"2019-06-20",27950,2370,3772,11050,14200,1550,2856
"2019-06-21",27700,2390,3722,11100,14200,1550,2765
"2019-06-24",27600,2405,3832,11100,13700,1550,2985
"2019-06-25",27250,2365,3800,11000,13100,1550,2867
"2019-06-26",27150,2360,3804,11150,12950,1550,2805
"2019-06-27",27550,2365,3804,11100,13000,1550,2726
"2019-06-28",28050,2355,3782,11150,13100,1550,2703
"2019-07-01",28050,2335,3768,11000,12700,1550,2836
"2019-07-02",27550,2335,3768,11150,13050,1550,2899
"2019-07-03",27300,2295,3709,10900,13050,1550,2707
"2019-07-04",27400,2310,3686,11150,12900,1550,2613
"2019-07-05",26200,2290,3686,11050,12700,1550,2781
"2019-07-08",26000,2250,3640,10850,12300,1550,2523
"2019-07-09",25500,2245,3636,10800,12500,1550,2444
"2019-07-10",25200,2210,3609,10750,12650,1550,2436
"2019-07-11",25100,2190,3640,10900,12650,1550,2656
"2019-07-12",24500,2210,3636,10850,12750,1550,2628
"2019-07-15",24800,2210,3631,10750,12750,1550,2703
"2019-07-16",25200,2210,3631,10800,12650,1550,2691
"2019-07-17",25500,2180,3609,10600,13950,1550,2499
"2019-07-18",26250,2220,3622,10600,13700,1550,2413
"2019-07-19",26150,2190,3654,10650,12650,1550,2448
"2019-07-22",26200,2195,3631,10700,13300,1550,2448
"2019-07-23",25700,2160,3613,10700,14000,1550,2433
"2019-07-24",26150,2195,3613,10650,13850,1550,2354
"2019-07-25",26250,2145,3586,10500,13850,1550,2288
"2019-07-26",26650,2230,3545,10350,13700,1550,2213
"2019-07-29",25850,2205,3431,9880,12550,1550,2029
"2019-07-30",25500,2190,3445,10000,12350,1550,2100
"2019-07-31",25350,2190,3431,10000,13000,1550,2194
"2019-08-01",25150,2190,3531,9990,12750,1550,2127
"2019-08-02",25300,2180,3518,9980,12450,1550,2115
"2019-08-05",24650,2095,3345,9760,11050,1550,1861
"2019-08-06",24900,2095,3272,9170,10950,1550,1806
"2019-08-07",24500,2035,3290,9180,11550,1550,1935
"2019-08-08",24500,2110,3336,9340,11650,1550,2068
"2019-08-09",24700,2115,3322,9290,12050,1550,2111
"2019-08-12",23850,2100,3276,9210,12800,1550,2158
"2019-08-13",24700,2100,3276,9210,12250,1550,2217
"2019-08-14",25450,2095,3281,9180,12300,1550,2327
"2019-08-16",26200,2050,3094,9230,12100,1550,2245
"2019-08-19",27000,2110,3076,9360,12000,1550,2327
"2019-08-20",27400,2100,3113,9580,12400,1550,2323
"2019-08-21",27500,2080,3094,9610,12400,1550,2272
"2019-08-22",27900,2080,3113,9640,12350,1550,2229
"2019-08-23",27900,2070,3081,9600,12050,1550,2154
"2019-08-26",27900,2065,3053,9440,11500,1550,2072
"2019-08-27",27500,2035,3026,9450,12400,1550,2088
"2019-08-28",27400,2085,3035,9440,12350,1550,2139
"2019-08-29",27450,2080,3031,9460,12450,1550,2139
"2019-08-30",27500,2120,3090,9530,12250,1550,2194
"2019-09-02",27150,2105,3081,9580,12050,1550,2233
"2019-09-03",26650,2095,3067,9630,12250,1550,2186
"2019-09-04",26600,2100,3044,9630,12250,1550,2186
"2019-09-05",27050,2130,3099,9630,12150,1550,2182
"2019-09-06",27400,2130,3072,9680,12900,1550,2178
"2019-09-09",27350,2115,3053,9650,12550,1550,2178
"2019-09-10",27350,2120,3090,9620,12500,1550,2323
"2019-09-11",27450,2130,3094,9600,12550,1550,2339
"2019-09-16",27600,2140,3108,9630,13200,1550,3032
"2019-09-17",27600,2140,3113,9620,13250,1550,2899
"2019-09-18",28650,2135,3117,9650,13250,1550,3322
"2019-09-19",28850,2130,3117,9680,13100,1550,3322
"2019-09-20",28950,2130,3081,9810,13000,1550,3494
"2019-09-23",28600,2145,3108,9870,12750,1550,3447
"2019-09-24",28500,2120,3126,9780,12850,1550,3380
"2019-09-25",27550,2085,3085,9620,12500,1550,3142
"2019-09-26",27150,2105,3085,9600,12350,1550,3232
"2019-09-27",27050,2095,3058,9570,12200,1550,3149
"2019-09-30",27650,2090,3072,9570,11950,1550,3126
"2019-10-01",28100,2085,3090,9570,12000,1550,3185
"2019-10-02",28400,2060,3067,9570,11550,1550,3306
"2019-10-04",28050,2070,3058,9530,11250,1550,3212
"2019-10-07",27850,2090,3081,9500,10900,1550,2581
"2019-10-08",27600,2085,3067,9500,11400,1550,2597
"2019-10-10",27650,2090,3081,9510,11250,1550,2581
"2019-10-11",27550,2140,3099,9510,11300,1550,2597
"2019-10-14",27650,2150,3094,9500,11350,1550,2691
"2019-10-15",27750,2150,3090,9590,11450,1550,2734
"2019-10-16",27400,2150,3094,9600,11600,1550,2758
"2019-10-17",27400,2130,3076,9580,11600,1550,2664
"2019-10-18",27400,2165,3113,9590,11500,1550,2734
"2019-10-21",27350,2165,3094,9590,11500,1550,2574
"2019-10-22",27150,2155,3085,9600,11350,1550,2758
"2019-10-23",27300,2150,3081,9620,11000,1550,2597
"2019-10-24",27800,2155,3094,9700,11200,1550,2644
"2019-10-25",28150,2140,3090,10100,10950,1550,2577
"2019-10-28",28800,2135,3113,10500,10850,1550,2597
"2019-10-29",28850,2135,3099,10600,10900,1550,2664
"2019-10-30",29350,2150,3103,10500,11700,1550,2597
"2019-10-31",28950,2210,3099,10800,12050,1550,2640
"2019-11-01",29100,2235,3103,10550,12100,1550,2703
"2019-11-04",29300,2240,3113,10500,12350,1550,2715
"2019-11-05",29150,2225,3126,10600,12300,1550,2695
"2019-11-06",29400,2185,3140,10500,12300,1550,2832
"2019-11-07",29700,2185,3167,10550,12200,1550,2738
"2019-11-08",29900,2180,3208,10400,12100,1550,2824
"2019-11-11",30100,2180,3194,10300,11950,1550,2722
"2019-11-12",30250,2180,3167,10300,12350,1550,2711
"2019-11-13",30050,2185,3172,10400,12450,1550,2726
"2019-11-14",29850,2190,3204,10400,12350,1550,2801
"2019-11-15",30150,2175,3245,10250,12100,1550,2734
"2019-11-18",30200,2135,3235,10050,12100,1550,2805
"2019-11-19",30300,2170,3226,9980,11950,1550,2675
"2019-11-20",30150,2150,3213,9960,11900,1550,2350
"2019-11-21",30050,2120,3204,9860,11500,1550,2303
"2019-11-22",30200,2120,3167,9970,11400,1550,2284
"2019-11-25",30200,2165,3185,10500,11650,1550,2315
"2019-11-26",30600,2160,3208,10500,11650,1550,2366
"2019-11-27",30300,2170,3226,10500,11450,1550,2311
"2019-11-28",30000,2145,3249,10600,11550,1550,2280
"2019-11-29",29550,2155,3226,12350,11350,1550,2284
"2019-12-02",29650,2145,3199,12900,11350,1550,2170
"2019-12-03",29500,2120,3167,12600,11300,1550,2256
"2019-12-04",29150,2120,3149,11750,11250,1550,2115
"2019-12-05",29000,2130,3135,11100,11500,1550,2076
"2019-12-06",29150,2125,3113,11200,11750,1550,2135
"2019-12-09",28850,2170,3076,11800,11800,1550,2162
"2019-12-10",28850,2200,3058,11650,11500,1550,2162
"2019-12-11",28950,2200,3067,10800,11500,1550,2190
"2019-12-12",29100,2205,3131,10600,11550,1550,2252
"2019-12-13",28750,2220,3286,10700,11500,1550,2241
"2019-12-16",28800,2215,3417,10550,11550,1550,2272
"2019-12-17",29050,2235,3477,10350,11450,1550,2119
"2019-12-18",29050,2240,3481,10450,11450,1550,2209
"2019-12-19",29100,2225,3536,10350,11350,1550,2154
"2019-12-20",29300,2230,3627,10100,11300,1550,2241
"2019-12-23",29150,2205,3627,9980,11250,1550,2135
"2019-12-24",29050,2185,3586,9800,11300,1550,2053
"2019-12-26",29000,2200,3645,9900,11350,1550,2088
"2019-12-27",29200,2125,3385,9960,11200,1550,2115
